property_id,lat,lng,addr_street,suburb,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
64526,-37.812297,145.293008,46 Sellick Drive,CROYDON,CARDINIA,19878,2.17114,42,1,25,10,5,3
26709,-37.596561,144.927582,39 Alma Street,CRAIGIEBURN,YARRA RANGES,40221,1.50633,41,1,5,3,2,1
85312,-37.883033,145.004189,17 Staniland Grove,ELSTERNWICK,MORELAND,19954,0.3468,Not available,0,111,55,48,25
5976,-37.779106,144.817241,1/2 Dubbo Street (Albion),ALBION,MOIRA,20004,0.67622,23,1,0,0,0,0
23517,-37.638251,144.906494,24 Castlehill Avenue,GREENVALE,HORSHAM,40220,2.54839,37,1,0,0,0,0
47811,-37.803681,145.060715,12 Second Avenue,KEW,SOUTH GIPPSLAND,19903,2.46,14,1,2,0,0,0
91844,-37.984268,145.042831,84 Pellatt Street,BEAUMARIS,TOWONG,19865,1.97778,43,1,0,0,0,0
45468,-37.699603,145.099182,74 Hailes Street,GREENSBOROUGH,GLEN EIRA,19985,0.93386,46,1,15,4,2,1
85133,-37.876493,144.989257,82 Tennyson Street,ELWOOD,MORELAND,19955,0.52945,Not available,0,111,55,48,25
18932,-37.67315,144.922167,48 Tatura Crescent,BROADMEADOWS,WODONGA,20030,1.12469,32,1,3,0,0,0
51508,-37.779972,145.128878,5 Saxon Street,DONCASTER,MORELAND,20042,4.41801,22,1,111,55,48,25
28033,-37.796821,144.975513,1 Henry Street,FITZROY,NILLUMBIK,19843,1.60083,2,1,4,2,1,1
57813,-37.822287,145.149582,20 Main Street,BLACKBURN,GREATER GEELONG,19898,0.24961,26,1,1,2,2,1
74342,-37.883587,145.02536,38 Webb Street,CAULFIELD,MELTON,19942,1.63119,24,1,87,30,19,10
92614,-38.018491,145.099114,11 Helm Street,ASPENDALE,YARRIAMBIACK,19862,1.00751,51,1,0,0,0,0
3762,-37.821556,144.892227,65 Francis Street,YARRAVILLE,MITCHELL,19996,0.66639,Not available,0,14,5,3,1
85179,-37.879979,145.006144,1 Long Street,ELSTERNWICK,MORELAND,19954,0.70348,Not available,0,111,55,48,25
22545,-37.740457,144.963963,3 McKay Street,COBURG,MOONEE VALLEY,19965,0.21729,23,1,41,18,12,6
54315,-37.818539,145.044756,25 Lyndhurst Crescent,HAWTHORN,YARRA,19903,0.44012,14,1,15,8,5,3
74759,-37.905273,145.058685,2 Park View Drive,CARNEGIE,MELBOURNE,19941,1.6908,27,1,23,12,8,5
37783,-37.648001,145.040031,8 Lowalde Drive,EPPING,FRANKSTON,20005,1.00058,51,1,3,3,2,1
56879,-37.844424,145.100663,70 Somers Street,BURWOOD,MARIBYRNONG,19849,1.94148,25,1,22,7,5,3
90683,-37.96323,145.05339,4/9 Barker Street,CHELTENHAM,YARRA RANGES,19866,0.39422,40,1,5,3,2,1
55982,-37.84323,145.074081,84 Fairmont Avenue,CAMBERWELL,MELBOURNE,19850,0.15476,23,1,23,12,8,5
22677,-37.741081,144.951919,37 Shackell Street,COBURG,MOONEE VALLEY,19965,1.01484,23,1,41,18,12,6
70709,-37.888494,145.099088,3 Moroney Drive,CHADSTONE,MELTON,19917,1.62637,26,1,87,30,19,10
